date,text
23.12.2019,"Рейтинги – важная часть оценки работы вуза. Да, они не могут отразить всё. Зато по ним мы можем сравнить себя с ведущими университетами мира. И здесь нам есть чем гордиться: 
 
В 2019 году мы вошли в ТОП-500 лучших университетов мира по версии THE, в ТОП-300 рейтинга THE Physical Sciences, ТОП-100 THE Computer Science (первые в России!), ТОП-250 THE Engineering and Technology (вторые в России!), в ТОП-500 лучших вузов QS World University Rankings. 
 
Здорово? В следующем году будет ещё круче."
23.12.2019,"Встречайте #ИТОГИ2019 Университета ИТМО! 
 
Каждый день мы будем выпускать по три поста с главными событиями 2019 года из жизни Университета ИТМО. Какие-то серьёзные, какие-то не очень – админу они показались значимыми. Круто, если такими они стали и для тебя. Поехали! 
 
В 2019 году мы превратили Петербург в настоящий кибергород. Кабель-канал Грибоедова, неоновые кони Аничкова моста, дуэль на бластерах. Всё это КиберПитер 2019 – новый имиджевый ролик о городе, в котором ИТМО! 
 
Он знатно разошелся по интернету. Только в ВК его посмотрели почти 365 тысяч человек. Но главное – мы опередили самого Илона Маска. Наш КиберПитер вышел намного раньше, чем его Кибертрак. 
 
Попадаем в будущее тут: https://vk.cc/aas6WD"
23.12.2019,"Вперёд, к современному цифровому туризму! 

8-9 февраля в Москве пройдёт хакатон Moscow Travel Hack. 50 команд поборются за призовой фонд 1 100 000 рублей, решая задачи от крупных международных компаний. Можно подать индивидуальную заявку и зарегистрироваться командой. 

Подробности на сайте проекта:"
20.12.2019,"Еее, волколаки, чародейки и темерская ржаная – вышел первый сезон Ведьмака! На Netflix доступны все 8 серий. 
 
Интересно, что получилось. Удалось ли создателям перенести дух великих книг и игр на экран? Справился ли бывший супермен Генри Кавилл? 
 
Кто уже посмотрел – делитесь впечатлениями!"
20.12.2019,"Псс, в Европу не хочешь? Нужно всего лишь написать крутой сценарий для ролика😳"
20.12.2019,"Для кого-то лето – это «ааа, каникулы!», а для кого-то возможность получить новые знания в крутом месте. Если ты из вторых, то лови список интересных и полезных образовательных программ лета 2020."
19.12.2019,"Завершающая часть новой трилогии Star Wars уже в кинотеатрах! 🔥 
 
Обещают ответы на все вопросы предыдущих фильмов, плюс крутой экшн и приключения. Готовы? Когда в кино?"
19.12.2019,"Телефон, который чистит себя сам, больше не научная фантастика. 😱 
 
Группа ученых из Санкт-Петербурга, вместе со специалистами Университета ИТМО, разработала самоочищающийся материал для дисплеев. 
 
Скролить экран после поедания беляша все ещё нельзя. Но с вредными бактериями ученые научились бороться."
18.12.2019,Это не перформанс фокусников и не выставка современного искусства. Это один из экспонатов музея оптики Университета ИТМО. Здесь науку изучают с интересом – большинство экспонатов можно трогать руками.😉
18.12.2019,"Выпускник ИТМО Константин Хомченко закончил факультет оптического материаловедения, а теперь у него своё маркетинговое агентство. Он занимается бизнесом и помогает стартаперам в нашем акселераторе. Почитайте, какие навыки, полученные в университете, помогли Константину открыть свой бизнес и стать успешным."
18.12.2019,"Завершаем год крутыми лекциями по генетике и биомедицине! 🔥

На первой выступит Петр Харченко из медицинской школы Гарварда. Он расскажет про сравнительный анализ тканей методами одноклеточной транскрипотмики. 

А Вячеслав Дячук, сотрудник Нового физтеха Университета ИТМО, прочтет лекцию «Изучение клеточной иерархии: новые модельные системы и методы генетического трейсинга для биомедицины». 

Вход свободный. Начало 23 декабря в 14.00 в корпусе на Ломоносова 9, аудитория 1220."
17.12.2019,"Ты можешь поучаствовать в разработке проекта «ИТМО Хайпарк»!☺ 
 
24 и 25 декабря студенты Университета ИТМО и Санкт-Петербургского государственного архитектурно-строительного университета представят инновационные решения для проекта «ИТМО Хайпарк». Воркшоп пройдёт в пространстве «Точка кипения». Если у тебя есть свои идеи, то ты тоже можешь принять участие. Подробности и регистрация здесь:"
17.12.2019,"На первый взгляд, наука и искусство – это абсолютно противоположные вещи. Но мы их соединили в магистерской программе [club156503052|Art & Science] . Зачем это нужно? Как это работает? Что будут уметь выпускники? Об этом рассказала в интервью каналу [club64852945|Город+] директор магистерской программы Art & Science Алия Сахариева."
16.12.2019,"Время пройти стажировку, а ты не знаешь, что делать? 
 
В [club78459300|центре карьеры Университета ИТМО] начинается неделя практики. Ты узнаешь, как оформить документы, в какие кабинеты зайти, где поставить печать, а где подпись. 
 
Тебе помогут подобрать идеальное место практики и ответят на вопросы. Вступай в группу и следи за новостями. 👆🏻"
15.12.2019,"День открытых дверей - всё! Больше 600 гостей пришли сегодня в Университет ИТМО.

У нас было по-летнему тепло, поэтому мы угощали азотным мороженым, а ещё показывали и рассказывали, почему учиться в ИТМО – это круто!

Надеемся, вам понравилось. Теперь ждём уже с документами на поступление. И, конечно, всем удачи на экзаменах! ✊🏻

p.s. За фото спасибо ITMO.NEWS"
13.12.2019,"В шорт-лист конкурса конференции QS Reimagine Education в Лондоне вошёл проект научного центра SCAMT Университета ИТМО. SCAMT Workshop Week (SWW) - это новый формат летних и зимних школ, которые объединяют химиков, физиков, математиков и инженеров. Почему проект получился таким крутым и как ему помогла престижная конференция, читайте в материале ITMO.NEWS."
13.12.2019,"Андрей Себрант – один из основателей рунета, кандидат физико-математических наук, директор по маркетингу «Яндекса», ведёт любимый нами подкаст «Трёп Себранта». 
 
Новый выпуск – о научном стендапе «Квантовый потанцевал 5.0». Cтендап – «низкий» жанр для науки? Может ли ученый рассмешить целый рок-клуб? Цитировать будут научные статьи или панчи? Не стесняйся: включай и узнай ответы! 
 
Послушать можно на сайте: sebrant.chat 
В Apple Podcasts: vk.cc/a8e0RK 
И Яндекс.Музыке: vk.cc/a8e1dX"
12.12.2019,"Акселератор ИТМО продолжает помогать молодым предпринимателям. 14 декабря пройдёт два воркшопа. 

1. Как создать лендинг, который приносит заявки? 
Спикер - Александр Альхов, специалист по маркетингу и продвижению, основатель CourseBourg. 

2. Как сделать финансовую модель стартапа? 
Занятие проведет Элита Смайл - эксперт по корпоративным финансам. Вы узнаете, как оцифровать бизнес, разработаете финансовую модель и получите фидбек о её работоспособности. 

Старт 14 декабря в 14.00. Регистрация по ссылке:"
11.12.2019,"Let’s rock!🔥 
 
Рок-фестиваль «Отрыв» объявляет розыгрыш! Участники и зрители смогут получить интересные призы и … билеты на концерт Limp Bizkit! 
 
Собираемся 13 декабря, 19:30 в AKAKAO LIVE MUSIC CLUB. Вход свободный, но не забудь зарегистрироваться: https://vk.cc/a4JaOE"
11.12.2019,"Ееее… Квантовый потанцевал 5.0 состоялся! 🎉 
 
Ученые на один вечер стали стендаперами, а профессиональные комики окончательно убедили всех, что бывших ученых не бывает. 
 
Это было круто. Всем спасибо, обязательно увидимся в следующий раз! 🔥"
11.12.2019,"Программирование - это не только работа, но и вид спорта. Почитайте, чем спортивные программисты отличаются от промышленных и какие задачи они могут решать."
10.12.2019,"Благодаря мегагранту от правительства России, в международном научном центре SCAMT появится новая лаборатория инновационных материалов. Как Университету ИТМО удалось получить грант и какие проекты будут реализовывать в новой лаборатории, читайте в материале ITMO.NEWS."
